0,1,2,3
4.97493,66.61411,0.00000,0.00000
4.95627,57.50834,0.30720,-0.12619
6.36515,71.96776,0.62981,0.52999
6.92502,87.05482,-0.47638,-0.50173
5.36771,76.40264,-0.08885,0.39298
3.98629,42.77306,0.18134,-0.59575
6.24758,82.30440,-0.17169,0.72982
5.74641,66.09721,0.60578,0.32459
5.54645,83.28504,-0.40866,0.37886
6.22555,74.29977,0.08870,0.74070
5.11640,72.52895,0.19365,-0.17966
6.26689,71.02643,0.34997,0.74258
4.73876,52.28278,0.73157,-0.37137
6.94071,88.88047,-0.74805,0.32764
4.76575,82.35231,-0.51714,0.10092
6.12390,26.76677,0.66703,-0.59035
4.74003,81.98277,-0.44949,-0.04079
6.29270,87.91692,-0.43514,-0.41958
4.99766,73.08197,0.29261,-0.67355
4.76039,39.48304,0.66372,-0.59331
4.99680,38.20177,0.43432,-0.56119
6.34905,87.99670,-0.69242,0.79591
3.93535,73.18600,-0.10033,-0.75443
5.27639,86.45049,-0.32422,-0.72074
5.11390,62.80959,0.20190,0.04040
6.01112,73.80908,0.07977,0.57213
4.27963,39.81834,0.10134,-0.59954
3.46651,60.13567,-0.08636,-0.73129
7.05806,81.54433,0.25127,0.72115
6.48145,85.54343,-0.39946,0.64345
3.28073,72.64705,-0.51599,-0.44152
6.24015,74.47525,0.76998,0.11942
3.62111,48.04295,-0.18222,-0.58352
4.67162,57.31623,0.07780,-0.18623
4.15800,82.37471,-0.60751,-0.10691
5.40076,61.76680,0.76476,-0.06748
5.91635,69.70570,0.43554,0.48341
4.82506,71.47051,0.07787,0.00555
6.45912,79.13351,0.21858,0.72547
6.57176,81.55827,0.18083,0.09871
4.72788,72.05625,-0.22732,0.00297
8.72219,83.55505,0.69252,0.08630
4.99338,57.28813,0.39713,-0.13669
6.31172,80.34062,0.29337,-0.20766
3.99274,45.34188,-0.13959,-0.54225
6.31471,85.37636,-0.40803,0.49073
5.86446,85.06402,-0.38699,-0.09567
4.27850,84.55095,-0.66568,-0.08719
5.63679,76.25239,0.04742,0.46096
5.00023,81.88598,-0.36683,-0.05268
5.03891,86.11298,-0.65682,0.13250
6.02080,77.89424,0.06962,0.67657
5.53616,62.79671,0.56801,0.05207
6.76216,75.81035,0.71006,0.75803
6.36690,72.95033,0.73503,0.58942
5.11414,77.58756,-0.22679,0.27382
4.89326,56.89876,0.44058,-0.22261
5.67574,81.49045,-0.25475,0.45625
6.49428,76.26778,0.42734,0.57981
4.66817,66.69783,-0.10619,-0.04754
8.57411,84.46371,0.34648,0.72436
5.07080,31.71734,0.70950,-0.61436
5.76501,73.65508,0.26660,0.25970
3.51078,76.31107,-0.53736,-0.34869
3.76149,49.46238,-0.08798,-0.58444
4.43661,72.66936,0.02882,-0.70459
4.81048,80.34923,-0.42508,0.14872
4.97249,48.40592,0.78713,-0.33245
5.24727,56.79622,0.44886,0.00767
6.45066,88.02258,-0.66933,0.58031
4.37512,53.63980,0.61874,-0.65149
5.44687,77.98076,-0.07072,0.02539
7.47855,12.87471,0.44634,-0.78222
2.69390,43.56143,-0.59842,-0.76165
6.61391,88.64624,-0.73329,0.74025
6.37558,89.05211,-0.78697,0.73650
4.11350,57.29019,-0.11185,-0.33911
4.80356,69.91648,-0.03803,-0.06775
4.53223,52.39745,0.40002,-0.35255
5.79851,63.29474,0.52661,0.34273
4.82447,72.81952,-0.23038,-0.01829
5.21855,55.16737,0.50960,-0.05924
5.14954,76.65636,-0.28778,0.14337
4.86133,84.62159,-0.58977,0.11661
3.15786,39.84388,-0.40789,-0.74935
6.57712,73.33486,0.78199,0.75865
5.53631,71.14360,0.13312,0.33897
5.97392,72.86726,0.57623,0.21600
3.90958,80.25320,-0.55638,-0.23746
6.14828,63.83173,0.72262,0.51752
6.50524,79.12523,0.52580,-0.22604
3.43851,55.93158,0.07875,-0.75650
5.85489,39.61195,0.76313,-0.24721
5.26002,67.46819,0.44318,0.12182
4.94830,47.24056,0.43084,-0.29618
3.31928,83.41287,-0.70424,-0.55569
5.01401,56.84673,0.39567,-0.12810
4.57087,57.03782,0.44196,-0.28297
4.95807,80.47540,-0.33523,0.13367
5.83068,75.84804,0.48721,-0.44550
4.41140,41.91954,0.12319,-0.51118
