0,1,2,3,4,5,6,7,8,9
0.36454,0.30169,0.29441,0.56935,0.46519,0.52607,0.31634,0.24155,0.51369,0.40141,
0.41272,0.30169,0.37244,0.42095,0.33597,0.35788,0.39187,0.35550,0.29988,0.48135,
0.47801,0.30169,0.44740,0.25533,0.47066,0.40667,0.42497,0.44480,0.22579,0.25633,
0.16044,0.42831,0.29603,0.32522,0.34963,0.45741,0.24924,0.20663,0.22579,0.22721,
0.12202,0.39227,0.43857,0.40855,0.08368,0.22469,0.07610,0.30939,0.22579,0.28643,
0.12202,0.33815,0.08680,0.26663,0.10161,0.32666,0.08411,0.29936,0.25557,0.40499,
0.13614,0.08353,0.08680,0.18509,0.16834,0.34784,0.15225,0.04144,0.08062,0.08654,
0.06371,0.16589,0.09685,0.22080,0.21432,0.12002,0.10625,0.11118,0.08062,0.10500,
0.06371,0.12391,0.10136,0.27822,0.10256,0.10264,0.07861,0.06833,0.27254,0.09587,
0.06371,0.19237,0.21484,0.20105,0.01977,0.09456,0.18044,0.04239,0.09547,0.20869,
0.06371,0.23369,0.24181,0.33651,0.05881,0.20085,0.02313,0.06703,0.08449,0.11070,
0.30222,0.09960,0.08818,0.27373,0.31824,0.27428,0.02313,0.15730,0.01467,0.26733,
1.05779,1.34417,1.40411,0.99746,1.45342,1.19907,1.47758,1.45286,0.44106,0.89396,
0.18589,0.99210,0.90758,0.66693,0.66785,0.86709,0.78950,1.05010,0.44106,0.62153,
0.18928,0.86048,0.99011,0.05303,0.52225,0.09089,0.07721,0.44625,0.44106,0.51926,
0.21046,0.77034,0.56157,0.38172,0.12687,0.09089,0.42342,0.54411,0.25116,0.59394,
0.15703,0.46999,0.18961,0.07769,0.43364,0.09089,0.46275,0.55665,0.48802,0.54456,
0.40251,0.49319,0.24966,0.25532,0.55533,0.09089,0.59641,0.07370,0.49272,0.06644,
0.31088,0.02202,0.01381,0.52933,0.03264,0.09089,0.47870,0.25582,0.55999,0.52544,
0.44346,0.02202,0.33211,0.14572,0.69355,0.20787,0.81904,0.17317,0.70808,0.23499,
0.34051,0.02202,0.27022,0.28017,0.09349,0.24728,0.24462,0.21386,0.56042,0.19582,
0.40860,0.02202,0.34000,0.35075,0.29679,0.02602,0.44925,0.45709,0.59939,0.17897,
0.44248,0.02202,0.04514,0.42022,0.16380,0.55840,0.40053,0.38061,0.62228,0.45396,
0.51020,0.02202,0.23169,0.79477,0.27479,0.84020,0.01829,0.43012,0.23510,0.08716,
0.50032,0.22641,0.17898,0.96957,0.40380,0.23437,0.01829,0.16486,0.69676,0.75061,
0.04349,0.38465,0.34098,0.20125,0.45558,0.18568,0.01829,0.36179,0.01041,0.52985,
0.31043,0.23273,0.70201,0.67001,0.10453,0.07981,0.01829,0.22968,0.17396,0.10426,
0.30637,0.37388,0.64059,0.90725,0.74868,0.19986,0.01829,0.58525,0.24756,0.21258,
0.28924,0.36590,0.03142,0.15212,0.52448,0.25764,0.01829,0.08553,0.16600,0.66547,
0.39606,0.15090,0.30732,0.35094,0.83170,0.15453,0.01829,0.16453,0.04708,0.23584,
0.02333,0.14698,0.37305,0.43232,0.13072,0.34218,0.01829,0.31643,0.18099,0.68315,
0.17411,0.34165,0.31908,0.24301,0.30884,0.22312,0.01829,0.04676,0.21404,0.58914,
0.07311,0.01681,0.23313,0.02387,0.15704,0.17080,0.01829,0.01484,0.00494,0.02025,
0.16115,0.17994,0.01421,0.05112,0.08569,0.28584,0.01829,0.01169,0.16357,0.15284,
0.40571,1.02644,0.04903,0.11250,0.99720,0.46976,0.26351,0.75564,0.72081,0.40771,
0.09173,0.02310,0.04903,0.08040,0.25227,0.09899,0.01493,0.18139,0.28481,0.16831,
0.02252,0.12355,0.04903,0.17172,0.00860,0.03145,0.03458,0.04542,0.14211,0.05442,
0.12892,0.20063,0.07526,0.14102,0.02084,0.03145,0.14605,0.11274,0.20769,0.16577,
0.20027,0.35207,0.14367,0.05277,0.06613,0.03145,0.08684,0.19381,0.33593,0.18164,
0.34997,0.24383,0.20929,0.27447,0.38743,0.05057,0.17043,0.22636,0.36356,0.00816,
0.05223,0.06056,0.02729,0.10093,0.05262,0.18992,0.01512,0.31535,0.07704,0.25808,
0.01442,0.17500,0.13158,0.04975,0.17750,0.03914,0.08927,0.16154,0.09126,0.12203,
0.47057,0.32704,0.21528,0.15954,0.57650,0.69189,0.32346,0.04566,0.30817,0.12203,
0.33175,0.06639,0.06423,0.11309,0.40882,0.13980,0.23619,0.16819,0.00918,0.12203,
0.28352,0.09637,0.04268,0.01778,0.11767,0.22000,0.26479,0.02311,0.22823,0.12203,
0.20388,0.07867,0.26458,0.01778,0.08043,0.25411,0.30324,0.21639,0.01318,0.13170,
0.44781,1.05511,0.08051,0.37501,0.04897,0.70632,0.30324,0.69220,0.05992,1.28021,
