0,1,2,3,4,5,6,7,8,9
0.03297,0.08236,0.07482,0.06385,0.07831,0.08663,0.06324,0.07850,0.07521,0.08107,
0.03297,0.08627,0.03678,0.08834,0.06379,0.08429,0.08009,0.08183,0.05428,0.08383,
0.03297,0.03250,0.06880,0.07997,0.09078,0.05111,0.03909,0.06050,0.08507,0.09944,
0.05956,0.03250,0.07867,0.09717,0.06871,0.08619,0.06346,0.07867,0.08374,0.06742,
0.06390,0.03250,0.04910,0.07630,0.05826,0.08395,0.05726,0.03218,0.08022,0.06668,
0.04728,0.03250,0.06867,0.03357,0.06622,0.05377,0.07695,0.07268,0.06405,0.06163,
0.08186,0.03250,0.07639,0.07329,0.04567,0.06984,0.07217,0.07677,0.03600,0.04781,
0.06199,0.03250,0.08230,0.08008,0.07531,0.05842,0.08293,0.07650,0.02540,0.05495,
0.00647,0.04334,0.06789,0.06717,0.06955,0.01502,0.04079,0.06875,0.03546,0.06172,
0.37772,0.21265,0.63605,0.15762,0.05085,0.42282,0.32073,0.72680,0.10843,0.38346,
0.17364,0.06051,0.58061,0.03219,0.05085,0.44210,0.08411,0.11797,0.29106,0.24521,
0.01579,0.05229,0.05909,0.03219,0.21788,0.31084,0.03511,0.09008,0.28201,0.05136,
0.01579,0.02419,0.03066,0.08962,0.04811,0.04061,0.02490,0.03597,0.12547,0.01971,
0.01579,0.04080,0.03053,0.01736,0.05841,0.01603,0.02828,0.03551,0.00648,0.02101,
0.49535,1.09668,0.47772,0.67425,0.09404,0.69260,0.36500,0.33390,0.87301,0.68054,
0.15385,0.16552,0.17626,0.24045,0.09404,0.28644,0.11210,0.08105,0.42220,0.28468,
0.05159,0.07188,0.02664,0.00718,0.09404,0.02600,0.01021,0.11508,0.01811,0.06155,
0.13572,0.02344,0.02664,0.09526,0.03316,0.17494,0.07722,0.16649,0.01977,0.03348,
0.10244,0.01478,0.22795,0.16842,0.03317,0.19560,0.07435,0.20490,0.13472,0.04169,
1.08557,0.43456,1.17889,1.23591,1.02741,1.33960,1.01252,1.22811,0.90192,1.35154,
1.02072,0.65463,0.97810,1.10886,0.99625,1.12984,1.01252,1.13054,0.81126,0.95739,
0.94771,0.83035,0.94389,1.04852,0.95612,1.03306,0.95773,0.97348,0.85898,0.95739,
0.90974,0.83035,0.87028,0.86832,0.87244,0.91359,0.90607,0.91918,0.86593,0.87830,
0.84524,0.83035,0.87314,0.83168,0.83383,0.89525,0.88458,0.87499,0.82616,0.87213,
0.86151,0.83035,0.86956,0.80815,0.81433,0.86080,0.88086,0.87036,0.80588,0.86896,
0.85800,0.79659,0.86194,0.80815,0.78790,0.85253,0.80553,0.82149,0.82985,0.82072,
0.85071,0.82552,0.83802,0.80815,0.77926,0.85338,0.78795,0.79648,0.79652,0.83318,
0.84769,0.84024,0.80492,0.80815,0.77487,0.78820,0.77534,0.82105,0.82116,0.79854,
0.82755,0.84076,0.80492,0.78333,0.81396,0.81969,0.81337,0.78990,0.79407,0.78230,
0.84027,0.78491,0.80492,0.77488,0.79058,0.83063,0.82751,0.81603,0.78041,0.77008,
0.76674,0.75901,0.76920,0.75817,0.76153,0.78697,0.78534,0.81693,0.78041,0.79925,
0.75375,0.78912,0.79892,0.74519,0.79050,0.76458,0.80751,0.80126,0.78041,0.80895,
0.74776,0.80894,0.81429,0.74308,0.80448,0.75318,0.77518,0.76690,0.78041,0.75711,
0.74147,0.77324,0.75303,0.77860,0.81393,0.74431,0.77518,0.79026,0.80277,0.79042,
0.74147,0.78327,0.72733,0.73537,0.78452,0.71751,0.77801,0.74123,0.74753,0.74134,
0.74147,0.74312,0.76103,0.71778,0.71897,0.75549,0.78554,0.71630,0.72423,0.72100,
0.74147,0.71616,0.77098,0.70951,0.75577,0.77485,0.75710,0.75422,0.71272,0.75189,
0.74147,0.75517,0.73656,0.74598,0.77490,0.71590,0.72920,0.72812,0.75410,0.76659,
0.71892,0.77274,0.73656,0.76747,0.71334,0.70037,0.70688,0.75926,0.72513,0.77733,
0.71892,0.71953,0.75477,0.76316,0.68986,0.68320,0.73968,0.75891,0.70167,0.70060,
0.68961,0.68369,0.74875,0.69017,0.67367,0.66505,0.70042,0.71022,0.70167,0.72157,
0.68961,0.70763,0.71217,0.71830,0.70276,0.69812,0.71569,0.67895,0.72408,0.72622,
0.70536,0.67165,0.72391,0.71948,0.71923,0.70914,0.67645,0.67895,0.68126,0.71436,
0.66093,0.67165,0.65832,0.71656,0.66766,0.66908,0.65289,0.69680,0.64741,0.72170,
0.63714,0.64915,0.69225,0.72155,0.69701,0.66908,0.63917,0.66169,0.68023,0.69178,
0.66674,0.61481,0.64444,0.63372,0.64695,0.63225,0.63917,0.62129,0.63777,0.69462,
0.67984,0.60084,0.66052,0.60327,0.60976,0.63225,0.66647,0.59730,0.66555,0.66566,
0.66352,0.63946,0.66826,0.59530,0.59144,0.63225,0.67115,0.59165,0.62741,0.67079,
0.67716,0.61086,0.61800,0.64291,0.57821,0.60763,0.66065,0.64098,0.62741,0.62744,
0.64842,0.63169,0.63494,0.65762,0.56150,0.60763,0.65591,0.59318,0.59571,0.59572,
0.64420,0.63573,0.58384,0.62802,0.55418,0.57926,0.64777,0.61692,0.59571,0.61796,
0.58983,0.64001,0.60399,0.58110,0.60027,0.57926,0.62740,0.63068,0.60994,0.62113,
