0,1,2,3
4.89069,65.67479,0.00000,0.00000
4.21039,65.80254,0.04920,-0.31400
7.75530,82.50077,0.55824,-0.12791
6.21056,67.85902,0.77753,0.64314
5.12644,41.06952,0.59700,-0.48345
4.64525,82.93454,-0.53703,0.05864
5.25289,71.59415,0.03113,0.30831
3.52430,53.07049,-0.30623,-0.54893
4.60228,41.14402,0.27522,-0.50187
4.59532,63.13566,-0.07325,-0.16761
4.82994,65.66084,0.42785,-0.37969
5.29187,68.70078,0.44636,-0.17302
5.29326,65.08189,0.54262,-0.07518
5.74652,69.47026,0.19208,0.44900
6.19492,82.17070,-0.10134,0.44135
5.93961,86.52440,-0.61079,0.67573
4.57387,31.61496,0.40836,-0.75175
4.33697,32.80294,-0.59721,-0.70982
9.04492,85.84515,0.22029,-0.08875
5.78062,68.45456,0.34218,0.40181
5.38197,57.86246,0.43366,0.07085
5.69257,74.20583,0.04678,0.39532
4.82500,76.80741,-0.27758,0.15219
3.96981,41.71505,0.03322,-0.61141
5.21203,82.97514,0.17917,-0.69190
5.50108,56.85008,0.48537,0.12640
5.55143,62.64931,0.32338,0.21225
6.01159,85.27923,-0.52075,0.78049
5.47924,43.41549,0.69418,-0.30106
7.71195,87.46590,-0.42170,0.26674
5.24207,79.06923,-0.78677,-0.20623
9.59176,18.12608,0.62278,-0.53751
5.42957,25.60773,0.63303,-0.74262
4.47629,51.08966,0.30050,-0.38503
6.31588,86.56055,-0.48891,0.02356
4.51033,74.67630,-0.53065,0.00050
5.87079,82.93986,-0.39200,0.70430
4.87104,84.62172,-0.59893,0.15238
3.74782,76.26153,-0.57230,-0.22860
5.25210,82.62762,-0.54562,0.45490
7.29454,85.41759,-0.08481,-0.39709
4.26662,64.07128,-0.20799,-0.23871
8.24261,83.92574,0.50382,-0.57528
6.47391,19.21374,0.36655,-0.66662
3.50653,81.42461,-0.67922,-0.44294
5.39440,55.82075,0.73532,0.00876
5.90941,75.54254,0.05944,0.69661
5.74430,75.74385,0.09421,0.52609
6.15004,84.40849,-0.39849,0.77058
4.60682,83.02455,-0.70086,0.13887
6.41705,28.88706,-0.39845,-0.63020
6.73166,88.29747,-0.68029,0.57285
5.20543,80.96832,-0.40009,0.37350
5.17584,80.82220,-0.41932,0.36943
5.72201,50.24817,0.69758,0.01685
3.49815,57.15212,-0.79574,-0.70795
2.85226,59.09373,-0.44086,-0.63398
4.58821,43.93470,0.30433,-0.45453
6.38170,76.52619,0.34680,0.77483
4.15678,61.39215,0.39785,-0.77646
7.27796,87.72057,-0.50673,-0.38335
3.86535,83.77411,-0.62591,-0.54412
4.35557,80.35526,0.05915,-0.63986
3.42477,85.83322,-0.70858,-0.41148
5.95105,83.51660,-0.12311,-0.77449
5.62825,62.00870,0.39759,0.22567
6.02165,66.37197,0.78483,0.51604
4.11378,69.98917,-0.32084,-0.31240
5.31850,69.41388,0.12472,0.21460
5.57347,80.92278,-0.16372,0.20895
8.42950,87.56751,-0.35076,0.48193
5.67953,81.82872,-0.20737,0.20114
4.29291,44.26304,0.17797,-0.49919
6.10280,79.69497,-0.06867,0.50879
4.01661,77.80732,-0.47132,-0.18297
6.20583,80.39395,0.01383,0.57841
5.91632,77.28832,0.06500,0.62487
5.80809,62.09664,0.72379,0.31627
4.24431,70.80025,-0.36055,-0.28893
5.82115,84.11914,-0.41632,0.47508
5.34654,83.59153,-0.45186,0.25298
5.20678,66.94113,0.29634,0.02143
5.13095,74.89227,-0.01642,0.19585
5.36862,68.72652,0.05025,0.24646
5.04038,28.56354,0.64110,-0.71442
7.31769,85.32725,-0.14225,0.30882
6.43720,66.92855,0.70805,0.76370
4.53039,26.05374,0.03906,-0.73598
4.42855,84.24744,-0.63901,-0.03987
4.09303,50.21262,-0.10116,-0.44473
6.46346,75.89297,0.46568,0.58121
6.83693,82.11719,0.15966,0.35364
5.19660,85.21814,-0.49093,-0.32935
5.78507,77.63075,-0.05447,0.61649
5.37199,55.26546,0.43684,-0.00927
4.94126,85.26461,-0.75850,0.29075
3.45399,54.35181,-0.15146,-0.64210
4.16407,75.31033,-0.48072,-0.29128
5.30803,59.81537,0.32501,0.11023
4.45790,38.00977,0.73287,-0.76578
6.94595,82.68166,0.04954,0.70715
