0,1,2,3
4.89558,67.19254,0.00000,0.00000
6.28061,76.32359,-0.01142,0.77275
6.83968,89.19803,-0.78399,-0.00987
5.06072,44.86720,0.41102,-0.30842
4.19293,72.47881,-0.24388,-0.18921
6.54981,86.25877,-0.46299,0.64625
6.06542,86.58188,-0.56348,0.37554
4.78727,32.74218,0.26086,-0.60056
4.77091,80.24497,-0.40950,0.09499
5.84959,67.95339,0.43364,0.53518
4.13602,42.43057,0.05954,-0.55601
5.38663,74.68852,-0.11581,0.31781
6.55102,87.26730,-0.57105,0.57851
6.50424,76.70182,0.34208,0.66306
3.66332,55.65752,-0.19952,-0.53899
4.81997,42.38784,0.46026,-0.41872
6.01593,84.41646,-0.42373,0.71781
4.59640,62.16242,0.70059,-0.63176
5.83266,75.96560,-0.09204,0.56906
4.56310,40.13181,0.70962,-0.61667
4.90470,53.97920,0.70058,-0.23535
4.66472,61.22478,0.70267,-0.62692
5.92966,55.22031,0.74617,0.20678
3.94079,60.44221,0.10280,-0.46942
5.85457,79.80965,-0.20314,0.70296
6.05608,70.89278,0.79212,0.04678
3.59622,86.25852,-0.79495,-0.53516
5.55929,84.01795,-0.44586,0.32603
5.99713,75.65506,-0.06477,0.63063
4.72228,70.73430,-0.21466,-0.07495
5.89577,86.50237,-0.61688,0.62674
6.19208,70.41203,0.28545,0.71444
5.18353,86.24242,-0.65589,0.21076
4.67704,71.69544,-0.27345,-0.09859
5.26767,79.26498,-0.11505,0.02977
2.93914,78.51017,-0.58858,-0.73896
5.94082,68.39253,0.38540,0.40533
5.87411,87.97554,-0.70435,0.19698
5.43555,72.77426,0.59169,-0.62257
3.57860,52.18388,0.05229,-0.68366
2.99855,80.11290,-0.67444,-0.57315
4.60730,85.91051,-0.65110,-0.16388
5.02861,84.76733,-0.61690,0.27094
3.20279,80.77097,-0.64529,-0.54990
4.24260,86.27319,-0.69632,-0.38538
3.90911,45.98849,0.05579,-0.61356
4.96424,66.16798,0.45281,-0.31393
6.68811,78.11872,0.46852,0.68967
5.13225,59.45412,0.64425,-0.14959
4.88804,31.39990,0.74380,-0.69415
5.26763,86.23503,-0.64974,0.34229
5.02669,82.08144,-0.25141,-0.63342
5.01774,81.12000,0.25051,-0.44843
5.87012,81.15123,-0.18462,0.54577
3.85593,35.25274,-0.09266,-0.69834
3.36565,60.66663,-0.43700,-0.54663
6.57178,87.52742,-0.58569,0.14250
5.77417,66.18856,0.77685,0.16830
5.50705,68.03292,0.51157,-0.02013
4.65818,63.16292,0.48721,-0.44550
5.65240,83.70032,-0.43010,0.46374
4.73894,69.01032,0.01721,0.02074
4.24085,68.84245,-0.28218,-0.20756
4.78240,73.63589,-0.03135,-0.00901
5.37369,73.74256,0.43211,-0.46220
4.36453,45.54305,0.12062,-0.46613
5.93552,58.63467,0.67405,0.34709
7.03462,77.34217,0.71300,0.78505
6.07258,85.89064,-0.50891,0.47274
5.09560,72.85130,0.28193,-0.13981
4.58597,55.37279,0.10056,-0.25520
6.10766,65.73657,0.58883,0.51368
6.14390,87.53996,-0.68307,0.76473
4.87594,55.62787,0.18266,-0.17412
4.41941,40.97804,0.42374,-0.58568
5.17721,67.43681,0.06508,0.14188
4.71865,73.10411,-0.23184,-0.07863
4.84145,30.28032,0.56315,-0.69007
5.41503,64.75050,0.68543,0.00119
5.91938,67.80861,0.75640,0.27073
5.24419,64.23243,0.43010,0.02937
5.10596,74.54844,-0.23308,0.13117
4.09569,70.06555,-0.31736,-0.33021
2.89575,76.31067,-0.63547,-0.56741
4.25060,81.52010,-0.49361,-0.25043
5.79895,30.23558,0.76943,-0.51122
4.60143,49.94049,0.22071,-0.30925
5.70924,75.41455,0.45109,-0.12445
4.48733,43.01613,0.47063,-0.50853
4.00211,56.19189,-0.17555,-0.39071
5.79400,58.26884,0.64274,0.22483
4.44404,78.08813,-0.17810,-0.57845
5.82161,57.92271,0.65445,0.24498
5.61438,79.57055,-0.25720,0.57525
5.60102,67.14108,0.47627,0.12090
5.02678,77.04990,0.60894,-0.58427
5.78490,85.23910,-0.40288,-0.32490
4.11439,43.86300,0.28454,-0.61060
6.69556,17.35003,0.61036,-0.76579
6.62276,83.95876,-0.16358,0.45340
4.88214,69.43147,0.11389,0.06460
