0,1,2,3
4.95778,71.29118,0.00000,0.00000
5.99421,60.86872,0.73556,0.40578
6.06826,81.06255,-0.11429,0.63051
5.05542,47.32900,0.76335,-0.35183
4.56718,31.93303,0.37755,-0.76559
5.68400,69.94550,0.17355,0.40332
5.53765,73.97192,0.24230,-0.00303
8.46700,83.07908,0.74743,-0.32738
6.08460,72.48392,0.20005,0.65340
5.41070,82.85094,-0.40459,0.35542
6.32753,74.41994,0.18141,0.77963
5.73603,80.08086,-0.18562,0.57383
5.03098,71.69198,0.04967,-0.03644
5.71026,86.42326,-0.68960,0.72138
6.02607,85.93742,-0.46591,0.07008
5.24655,85.16128,-0.60376,0.37002
5.04318,84.63249,-0.52180,-0.08281
6.45244,67.26934,0.58529,0.77570
9.25779,87.74575,-0.25540,-0.02293
6.01288,89.38098,-0.76248,-0.57092
5.48345,67.67034,0.61408,-0.04903
6.35863,67.56316,0.51146,0.70082
5.11998,67.24062,0.33856,-0.07628
6.35822,87.12291,-0.67289,0.61751
5.59325,79.54297,-0.19494,0.51397
6.32834,68.04128,0.77026,0.64011
5.69156,66.91917,0.46304,0.30100
4.39755,75.67053,-0.35644,-0.02339
5.09193,61.34757,0.47824,-0.06270
5.75610,60.22153,0.54760,0.26539
5.76383,73.80238,0.01770,0.44190
5.57371,67.05898,0.44866,0.22425
4.83480,59.52104,0.26661,-0.12571
4.81724,55.97302,0.29953,-0.18448
3.76922,65.45355,-0.21095,-0.51207
5.50834,39.94429,0.70751,-0.32029
5.98464,63.22047,0.72030,0.37674
5.38655,60.47975,0.56096,0.04538
4.84162,82.94848,-0.51941,0.12706
5.00761,38.31511,0.65226,-0.47579
5.07043,80.73384,-0.33462,0.16993
5.76401,85.62401,-0.63054,0.74905
5.06971,52.45394,0.32036,-0.15796
6.12301,68.23764,0.73733,0.60084
2.98070,62.48025,-0.50675,-0.68345
2.62586,51.65881,-0.55759,-0.77398
4.85552,29.96609,0.69836,-0.74223
3.42376,61.88660,-0.18992,-0.53886
5.56894,39.90530,0.74198,-0.33174
5.44674,19.77148,0.34029,-0.78379
