0,1,2,3
4.98350,65.46040,0.00000,0.00000
5.89967,55.93853,0.75792,0.24485
5.87316,50.29072,0.78363,0.06960
4.53748,38.12527,0.42744,-0.58685
5.72111,73.10258,-0.01483,0.47790
5.94622,63.76639,0.48830,0.46195
5.98804,73.29095,0.11466,0.60101
5.10338,83.10980,-0.35694,-0.34772
5.36060,82.29242,-0.41230,0.42508
2.62959,58.73184,-0.63073,-0.74340
5.38828,77.56010,-0.14234,0.42430
6.02155,71.20027,0.27427,0.54463
5.23094,63.43494,0.23726,0.10429
4.74983,67.95172,-0.04263,-0.09427
7.24622,85.99226,-0.29329,0.72118
5.04371,78.39864,-0.25437,-0.04586
5.78056,74.99318,-0.06269,0.50818
6.57568,77.07285,0.77811,-0.45858
5.90959,70.43179,0.34082,0.40095
5.92642,76.07627,0.11421,0.45154
5.14867,67.08391,0.13790,0.07040
5.16681,66.17796,0.65042,-0.13196
3.27551,74.53984,-0.56322,-0.44316
6.21985,70.55248,0.39263,0.67662
3.99500,72.35634,-0.30550,-0.24731
4.67828,88.22536,-0.78754,-0.00204
8.00580,85.81926,-0.06444,0.35877
4.14007,49.13848,0.62988,-0.71290
3.84918,85.84653,-0.73224,-0.32857
4.47877,76.22765,-0.47559,-0.11888
5.86330,83.08579,-0.34187,0.58449
4.18499,48.70308,0.07667,-0.50356
8.81361,88.84895,-0.60738,0.18911
4.11498,54.11512,0.32907,-0.50306
6.07229,78.61250,0.11726,0.54371
5.53899,67.04355,0.60177,0.10160
5.25448,71.40670,-0.03883,0.22709
5.59082,74.42445,0.18041,0.40064
5.20401,68.57433,0.21220,0.02472
4.55668,28.68717,-0.00552,-0.73750
5.64757,82.62419,-0.32080,0.43246
4.43225,59.44265,0.75342,-0.76832
5.03555,85.56865,-0.25444,-0.71854
4.91671,71.93843,-0.02790,0.00244
3.77021,62.14725,-0.10694,-0.59361
3.44783,86.44952,-0.77853,-0.69510
5.39162,85.67953,-0.54389,0.08800
4.09541,76.57603,-0.53342,-0.30490
5.85437,36.43690,0.76065,-0.33311
7.61827,89.39915,-0.78425,-0.29061
4.11486,37.90989,0.44095,-0.74364
6.01936,65.68520,0.68692,0.43776
5.18117,61.65272,0.35526,-0.01428
5.76115,81.66064,-0.33166,0.67141
5.84306,65.34630,0.43167,0.44470
7.01092,88.63231,-0.69871,0.20751
5.40103,50.83353,0.52113,-0.07534
5.45954,71.66003,-0.04200,0.30362
4.93699,75.63885,-0.11513,-0.15551
6.71362,78.74684,0.32287,0.56565
3.95439,55.87037,0.25869,-0.65839
5.24099,83.55297,-0.41515,0.03023
6.19283,76.46307,0.37413,0.24360
5.05522,21.40384,0.08417,-0.76529
4.14561,47.98419,0.22884,-0.65724
5.94600,85.90762,-0.56106,0.34970
5.07658,51.47191,0.51301,-0.19903
4.54020,56.75558,0.29699,-0.36496
5.33341,80.81194,-0.20918,0.06115
5.60069,80.99341,-0.31689,0.58239
5.22427,80.51489,-0.26977,0.21817
5.22349,50.62632,0.55219,-0.15304
4.74660,79.76891,0.27907,-0.75394
4.13617,82.29371,-0.58921,-0.20479
5.96663,71.90252,0.45060,0.57091
5.48242,44.56496,0.68034,-0.24721
5.16537,35.41744,0.35860,-0.48478
5.08370,42.09796,0.49692,-0.37758
4.99959,88.05878,-0.75591,-0.32860
5.13244,66.15848,0.07497,0.10218
5.98829,81.21041,-0.13379,0.53980
5.80023,87.83417,-0.71608,0.51022
6.13840,86.09856,-0.51440,0.46387
4.97918,52.24570,0.78835,-0.35060
6.14130,69.16141,0.57312,0.69311
6.32490,69.89819,0.36794,0.74215
5.09999,83.57578,-0.53343,0.27299
4.47143,83.50941,-0.60601,0.02463
6.36995,71.95026,0.64143,0.77621
6.02490,74.62228,0.11168,0.56852
5.70772,64.59953,0.58527,0.33081
4.71792,53.41197,0.28590,-0.29558
5.28176,83.88027,-0.50469,0.31602
5.98568,87.60217,-0.71480,0.36523
3.46058,62.24918,-0.25614,-0.48004
6.47560,75.47527,0.33311,0.76016
4.03837,44.72660,-0.07019,-0.53248
5.98385,66.70213,0.66828,0.41929
2.89272,56.40928,-0.53435,-0.67429
6.27802,71.00672,0.28215,0.72890
7.34477,82.62653,0.32265,0.17537
