0,1,2,3
4.99070,66.29686,0.00000,0.00000
5.90929,64.84865,0.42691,0.42903
6.05046,82.69421,-0.31566,0.78095
4.24173,83.82485,-0.69904,-0.01350
5.48346,84.53926,-0.53702,0.48518
6.58593,87.76733,-0.59247,-0.09840
6.32879,85.00217,-0.26357,-0.24138
5.63893,82.56093,-0.20723,-0.08396
5.05125,58.16969,0.27939,-0.06596
5.06798,76.33214,-0.33697,0.31148
3.98361,68.31398,-0.66150,-0.37096
