0,1,2,3,4,5,6,7,8,9
0.00190,0.00952,0.09399,0.08401,0.02422,0.10845,0.09774,0.09835,0.01275,0.01053,
0.00190,0.01814,0.10393,0.01663,0.00579,0.01741,0.10125,0.00861,0.08307,0.00440,
0.00190,0.01957,0.09416,0.08869,0.00973,0.09480,0.00972,0.02023,0.00955,0.00717,
0.00190,0.13151,0.00984,0.05121,0.01132,0.01263,0.01297,0.12162,0.01806,0.11556,
0.00190,0.57803,0.84177,0.43209,0.64297,0.71622,0.37148,1.54488,0.19612,1.11861,
0.00190,0.01330,0.32062,0.31166,0.00979,0.24610,0.07929,0.96036,0.19381,0.82730,
0.00190,0.00574,0.09820,0.26829,0.17343,0.09661,0.05962,0.50723,0.18017,0.52785,
0.00190,0.00851,0.10116,0.21242,0.03303,0.01647,0.09805,0.14475,0.16015,0.27759,
0.00190,0.01730,0.09372,0.16964,0.00702,0.00454,0.06635,0.09514,0.08711,0.14471,
0.00190,0.09696,0.11435,0.08995,0.02341,0.01067,0.10151,0.08061,0.11196,0.14123,
0.00190,0.09696,0.11435,0.08995,0.02341,0.01067,0.01132,0.08061,0.11196,0.14123,
0.00190,0.01319,0.01043,0.01645,0.01384,0.02015,0.01105,0.00377,0.02201,0.13949,
0.00190,0.09265,0.09638,0.09156,0.11543,0.00872,0.00827,0.02600,0.01109,0.13162,
0.00190,0.00170,0.05489,0.10059,0.02391,0.02950,0.00932,0.09517,0.00903,0.13514,
0.10873,0.00170,0.01183,0.08281,0.01319,0.08129,0.00536,0.09755,0.12347,0.07941,
0.12883,0.00170,0.00964,0.01985,0.02653,0.08296,0.04182,0.09997,0.02063,0.01412,
0.13887,0.00170,0.10408,0.02516,0.01002,0.08517,0.08514,0.08414,0.14001,0.02272,
0.00873,0.00170,0.12646,0.00792,0.02238,0.05543,0.09871,0.01998,0.00865,0.00743,
0.02478,0.00170,0.00739,0.01230,0.06859,0.01194,0.08145,0.12985,0.01532,0.04913,
0.02478,0.00170,0.00739,0.01230,0.06859,0.01194,0.08145,0.12985,0.00961,0.04913,
0.09533,0.00170,0.10873,0.12499,0.10915,0.01757,0.10217,0.13951,0.04806,0.00859,
0.01457,0.00170,0.06652,0.02185,0.12903,0.01056,0.00214,0.08194,0.08629,0.01639,
0.00779,0.00170,0.04626,0.02546,0.13878,0.01149,0.05364,0.10757,0.09536,0.01483,
0.12156,0.00170,0.09435,0.02102,0.13772,0.12597,0.01101,0.02095,0.01428,0.09734,
0.03096,0.00170,0.00787,0.01078,0.00700,0.00394,0.01602,0.00921,0.11294,0.08602,
0.00926,0.00170,0.02337,0.05195,0.00805,0.02144,0.01444,0.01974,0.06873,0.05567,
0.02031,0.00170,0.02503,0.08618,0.01360,0.00372,0.09741,0.08214,0.01480,0.08494,
0.09780,0.00170,0.09195,0.09749,0.00763,0.02627,0.09845,0.08787,0.02137,0.09337,
0.02400,0.00170,0.02183,0.08825,0.01655,0.08483,0.09373,0.11881,0.00891,0.08484,
1.24159,0.00170,1.07896,1.45671,1.54414,0.32173,0.95000,0.45394,0.56287,1.07180,
0.70859,0.00170,0.79248,0.82094,0.99433,0.07747,0.68304,0.08125,0.27452,0.79810,
0.39882,0.00170,0.38343,0.24673,0.47240,0.08026,0.45188,0.10246,0.05031,0.39534,
0.27130,0.00170,0.18611,0.04860,0.20214,0.08290,0.31453,0.12209,0.02856,0.19170,
0.01865,0.00170,0.09086,0.02124,0.07989,0.09816,0.23697,0.14308,0.01597,0.03826,
0.03167,0.00170,0.03208,0.08153,0.01658,0.09603,0.18718,0.00248,0.09347,0.01546,
0.03167,0.00170,0.03208,0.08153,0.01658,0.09603,0.18718,0.01144,0.09347,0.01546,
