0,1,2,3,4,5,6,7,8,9
0.73765,0.85559,0.91649,0.81156,0.71998,0.81984,0.29581,0.61412,0.85151,0.98243,
0.91478,0.95463,0.15667,0.93901,0.89903,1.00424,0.29581,0.86130,0.89092,0.81719,
0.98615,0.05158,0.15667,0.78735,0.26583,0.65785,0.04244,0.95917,0.97268,0.87527,
0.74349,0.06557,0.04813,0.52401,0.94980,0.81137,0.04244,1.00574,0.81785,0.96894,
0.72174,0.98876,0.05302,0.24464,0.37517,0.94176,0.04244,0.74349,0.96580,0.55212,
0.61954,0.72547,0.03066,0.06300,0.02946,0.99801,0.04244,0.91686,0.20996,0.66492,
0.96784,0.91573,0.04898,0.10989,0.02324,0.80997,0.04244,0.91938,1.11267,0.75583,
0.22196,0.91853,0.19812,0.19690,0.01119,0.94576,0.04244,0.82077,0.80997,0.60913,
0.03124,0.77955,0.98478,0.04386,0.98587,0.80997,0.04244,0.41157,0.29717,0.21082,
0.03124,0.54270,0.47138,0.99030,0.67156,0.95254,1.10866,1.12171,0.34373,0.12325,
0.03124,0.25295,0.90449,0.73978,0.89697,0.56963,1.13637,0.67156,0.03737,1.11483,
0.03124,0.12371,0.46851,0.97963,0.98445,0.17283,0.82176,0.89284,0.13110,0.63740,
0.03124,0.19927,0.06709,0.81370,0.75040,0.16879,0.95453,0.98287,0.04645,0.58522,
0.03124,0.20661,0.29067,0.35716,0.08398,0.03409,0.44963,0.00819,0.01217,0.61881,
0.30668,0.28918,0.27792,0.13135,0.08398,0.30679,0.17587,0.07903,0.03390,0.51446,
0.22033,0.01167,0.17897,0.03092,0.08398,0.21232,0.05733,0.08409,0.05970,0.10153,
0.94346,1.27688,1.26927,0.97614,0.96208,0.91573,1.17372,0.70978,0.84068,1.35185,
0.98923,1.20749,1.17536,0.94102,1.12838,1.04508,1.17372,0.84761,0.92334,0.99337,
1.09554,0.93048,1.17928,1.01403,1.20439,1.11809,1.17372,1.05097,1.06731,1.13245,
1.14529,1.06965,1.22554,1.15835,1.03012,1.07711,1.17372,1.04574,1.11829,1.16253,
1.12548,1.15098,0.95628,1.07780,1.13242,1.15538,1.20120,1.08931,1.11829,1.13552,
1.10408,1.05121,0.92083,1.07780,1.11295,1.12642,0.87125,1.14375,1.11459,1.16722,
1.09220,1.05121,0.98485,1.07235,1.01211,1.08734,0.98202,1.15970,1.07548,0.97332,
1.05051,1.09002,0.98485,0.94781,0.91834,1.04541,0.99509,0.93162,1.03864,0.96948,
1.00060,0.90222,0.86517,1.01529,0.91834,0.90130,1.02823,0.94033,1.05211,0.94459,
0.95137,0.77566,0.86517,0.96667,0.98115,0.88124,0.96244,0.92072,0.74806,0.91711,
1.01876,0.95734,0.86517,0.99151,0.63283,0.99900,0.78131,0.89033,0.84261,0.96321,
0.87731,0.72577,0.83379,1.00378,0.75443,0.75232,0.78131,0.68964,0.85026,0.73811,
0.60383,0.53124,0.80016,0.51629,0.70344,0.87653,0.88915,0.68964,0.56920,0.85960,
0.35397,0.53124,0.46055,0.61422,0.79294,0.72850,0.78454,0.75793,0.63429,0.59541,
0.65301,0.53124,0.25399,0.70965,0.78454,0.41906,0.68915,0.55850,0.54252,0.61930,
0.35339,0.53124,0.65412,0.71148,0.81659,0.71179,0.62053,0.76615,0.64835,0.62203,
0.35339,0.16926,0.22424,0.55206,0.36013,0.25869,0.59522,0.80593,0.23037,0.27608,
0.44024,0.16926,0.60226,0.21715,0.50032,0.60165,0.39609,0.41381,0.47805,0.64844,
0.51272,0.16926,0.36486,0.72836,0.68182,0.88262,0.03996,0.75483,0.27554,0.79385,
0.22248,0.16926,0.33792,0.43452,0.77289,0.39330,0.05337,0.81361,0.19803,0.61701,
0.31343,0.16926,0.37917,0.01856,0.46732,0.31225,0.09251,0.59810,0.02897,0.50815,
0.06890,0.16926,0.42976,0.35105,0.39805,0.37199,0.04594,0.59810,0.05773,0.48014,
0.01675,0.36957,0.12664,0.45836,0.07682,0.05831,0.04594,0.28432,0.31438,0.34198,
0.06894,0.46927,0.11474,0.52418,0.20585,0.07729,0.04594,0.29447,0.44105,0.20504,
0.33540,0.51936,0.01107,0.28432,0.18412,0.14930,0.04594,0.30162,0.03784,0.15965,
0.02940,0.28432,0.28100,0.05674,0.13453,0.21576,0.04594,0.30526,0.08158,0.10069,
0.18460,0.29447,0.03894,0.01081,0.08730,0.39338,0.04594,0.52418,0.09469,0.34864,
0.18774,0.13042,0.04509,0.17033,0.20949,0.48063,0.04594,0.46164,0.09755,0.22895,
0.37808,0.05126,0.14175,0.19994,0.26222,0.18928,0.04594,0.33903,0.09424,0.39244,
0.47290,0.06936,0.01077,0.15619,0.28670,0.04115,0.04594,0.08129,0.14437,0.18928,
0.42784,0.10073,0.20568,0.30585,0.24146,0.08457,0.04594,0.17509,0.00405,0.15559,
0.42784,0.00650,0.00433,0.21318,0.09026,0.25659,0.04594,0.13151,0.06433,0.00351,
0.30057,0.11245,0.06334,0.01948,0.26479,0.18500,0.04594,0.10307,0.08202,0.21714,
0.42784,0.15903,0.09077,0.21611,0.18749,0.14277,0.04594,0.05111,0.09361,0.16599,
0.22984,0.04012,0.10220,0.32973,0.14293,0.03978,0.04594,0.01694,0.02132,0.11100,
0.01174,0.12673,0.10224,0.29447,0.06359,0.12576,0.05537,0.05965,0.02132,0.28335,
0.06369,0.02393,0.05215,0.21294,0.03960,0.02194,0.01601,0.08114,0.02132,0.19409,
0.08201,0.03966,0.13036,0.19295,0.18877,0.21053,0.01601,0.07407,0.26710,0.00737,
0.09411,0.08694,0.16344,0.01132,0.01585,0.15931,0.01601,0.02797,0.28440,0.05480,
0.26495,0.05271,0.06903,0.06498,0.20470,0.29686,0.01601,0.07465,0.19295,0.07258,
0.18457,0.13150,0.06067,0.09113,0.15675,0.19295,0.01601,0.24334,0.17050,0.01364,
0.13460,0.02370,0.05747,0.09645,0.28879,0.02990,0.01601,0.45822,0.02013,0.22009,
0.28845,0.03791,0.27368,0.26187,0.20295,0.02807,0.01601,0.28440,0.04150,0.01209,
0.45822,0.08050,0.18866,0.34501,0.15532,0.08689,0.01601,0.22855,0.02021,0.21206,
0.39638,0.05676,0.30576,0.06360,0.10357,0.09338,0.01601,0.20832,0.09462,0.16047,
0.19295,0.02809,0.24040,0.08557,0.08534,0.09803,0.09550,0.01283,0.10368,0.09959,
0.87543,0.91444,0.24040,0.81390,0.87210,0.21451,0.70551,0.97955,0.84671,0.83589,
0.48448,0.33509,0.41354,0.38854,0.32117,0.21451,0.01214,0.41354,0.24023,0.46047,
0.04968,0.03219,0.07539,0.12160,0.04509,0.21451,0.15064,0.44560,0.15540,0.11693,
0.04968,0.01198,0.09939,0.04364,0.12323,0.15673,0.04668,0.17732,0.08197,0.09865,
0.12550,0.23195,0.11249,0.21113,0.15434,0.36496,0.01288,0.03335,0.01064,0.15707,
0.21092,0.36268,0.60178,0.26214,0.87103,0.40981,0.42372,0.03335,0.10151,0.02634,
0.17698,0.23965,0.33737,0.15274,0.16712,0.29100,0.21082,0.03335,0.01942,0.49798,
0.36851,0.51359,0.48217,0.35652,0.87294,0.65255,0.61394,0.87330,0.01942,0.20891,
0.45809,0.44814,0.59804,0.67815,0.54842,0.41175,0.57447,0.20891,0.01942,0.04899,
0.61117,0.75033,0.18726,0.20891,0.40337,0.33185,0.67498,0.15422,0.01942,0.04603,
0.57313,0.64589,0.02238,0.04899,0.31304,0.09899,0.52922,0.65013,0.01942,0.06381,
0.11772,0.63987,0.16652,0.64679,0.64338,0.13428,0.68152,0.09514,0.01942,0.87498,
0.01536,0.44100,0.87028,0.62117,0.42496,0.02462,0.60747,0.87405,0.01942,0.09514,
0.01536,0.15252,0.57407,0.62713,0.36528,0.08229,0.29453,0.09012,0.15893,0.87887,
0.01536,0.67297,0.55124,0.61050,0.66641,0.68032,0.09405,0.85073,0.13324,0.67516,
0.01536,0.54132,0.24041,0.65638,0.11728,0.65968,0.73027,0.05280,0.13343,0.19780,
0.01536,0.02568,0.16268,0.26792,0.59763,0.64977,0.05412,0.03003,0.01272,0.22572,
0.52480,0.02568,0.18860,0.38224,0.78116,0.11454,0.36933,0.00260,0.17352,0.11454,
0.02514,0.31441,0.30841,0.30890,0.35837,0.16402,0.10549,0.21656,0.17352,0.14479,
0.34115,0.20072,0.25992,0.21189,0.10549,0.25909,0.36986,0.49601,0.17352,0.26631,
0.52985,0.46308,0.25133,0.43535,0.36986,0.46572,0.02228,0.13316,0.17352,0.42756,
0.04490,0.56859,0.44366,0.59009,0.16293,0.48816,0.02228,0.04777,0.01899,0.51719,
